26/03/24 07:43:23,834 INFO  [@init servlet   ] [FreemarkerConfiguration       ] [system_user@l2Q1@] Finished initialization of "Notification" freemarker configuration
 26/03/24 07:43:32,724 INFO  [@init servlet   ] [NotificationJobProcessorUtils ] [@] Applying notification send delay 60000 (using for cluster notification merge)
 26/03/24 08:46:43,030 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-5:11-44#11-44:1-1] started [001-5:user reaction analysis]
 26/03/24 08:46:43,030 INFO  [@tion-analyzer-7] [AbstractAnalyzerJob           ] [@] [DG_AJ:001-5:11-44#11-44:1-1] didn't persist any notification job
 26/03/24 08:46:43,033 INFO  [@tion-analyzer-7] [AbstractAnalyzerJob           ] [@] [DG_AJ:001-6:11-45#11-51:1-1] started
 26/03/24 08:46:43,033 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-6:11-45#11-51:1-1] started [001-6:analysis in state after change]
 26/03/24 08:46:43,041 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-6:11-45#11-51:1-1] started [001-6:analysis in state before change]
 26/03/24 08:46:43,050 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-6:11-45#11-51:1-1] started [001-6:user mentions analysis]
 26/03/24 08:46:43,051 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-6:11-45#11-51:1-1] started [001-6:user reaction analysis]
 26/03/24 08:46:43,051 INFO  [@tion-analyzer-7] [AbstractAnalyzerJob           ] [@] [DG_AJ:001-6:11-45#11-51:1-1] didn't persist any notification job
 26/03/24 08:46:43,054 INFO  [@tion-analyzer-7] [AbstractAnalyzerJob           ] [@] [DG_AJ:001-7:11-46#11-46:1-1] started
 26/03/24 08:46:43,054 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-7:11-46#11-46:1-1] started [001-7:analysis in state after change]
 26/03/24 08:46:43,061 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-7:11-46#11-46:1-1] started [001-7:analysis in state before change]
 26/03/24 08:46:43,068 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-7:11-46#11-46:1-1] started [001-7:user mentions analysis]
 26/03/24 08:46:43,069 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-7:11-46#11-46:1-1] started [001-7:user reaction analysis]
 26/03/24 08:46:43,069 INFO  [@tion-analyzer-7] [AbstractAnalyzerJob           ] [@] [DG_AJ:001-7:11-46#11-46:1-1] didn't persist any notification job
 26/03/24 08:46:43,072 INFO  [@tion-analyzer-7] [AbstractAnalyzerJob           ] [@] [DG_AJ:001-8:11-47#11-50:1-1] started
 26/03/24 08:46:43,072 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-8:11-47#11-50:1-1] started [001-8:analysis in state after change]
 26/03/24 08:46:43,079 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-8:11-47#11-50:1-1] started [001-8:analysis in state before change]
 26/03/24 08:46:43,088 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-8:11-47#11-50:1-1] started [001-8:user mentions analysis]
 26/03/24 08:46:43,089 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-8:11-47#11-50:1-1] started [001-8:user reaction analysis]
 26/03/24 08:46:43,090 INFO  [@tion-analyzer-7] [AbstractAnalyzerJob           ] [@] [DG_AJ:001-8:11-47#11-50:1-1] didn't persist any notification job
 26/03/24 09:13:42,820 INFO  [@sue-analysis-61] [AnalysisDurabilityJob         ] [@] [AD:1711444422819] started, processing PersistentEvent (11-52..11-53]
 26/03/24 09:15:12,821 INFO  [@sue-analysis-62] [AnalysisDurabilityJob         ] [@] [AD:1711444512821] started, processing PersistentEvent (11-52..11-55]
 26/03/24 09:15:12,829 INFO  [@tion-analyzer-8] [AbstractAnalyzerJob           ] [@] [DG_AJ:001-10:11-53#11-53:1-5] started
 26/03/24 09:15:12,830 INFO  [@tion-analyzer-8] [AnalyzerMonitor               ] [@] [DG_AJ:001-10:11-53#11-53:1-5] started [001-10:analysis in state after change]
 26/03/24 09:15:12,851 INFO  [@tion-analyzer-8] [AnalyzerMonitor               ] [@] [DG_AJ:001-10:11-53#11-53:1-5] skipped [001-10:analysis in state before change]
 26/03/24 09:15:12,851 INFO  [@tion-analyzer-8] [AnalyzerMonitor               ] [@] [DG_AJ:001-10:11-53#11-53:1-5] started [001-10:user mentions analysis]
 26/03/24 09:15:12,852 INFO  [@tion-analyzer-8] [AnalyzerMonitor               ] [@] [DG_AJ:001-10:11-53#11-53:1-5] started [001-10:user reaction analysis]
 26/03/24 09:15:12,852 INFO  [@tion-analyzer-8] [AbstractAnalyzerJob           ] [@] [DG_AJ:001-10:11-53#11-53:1-5] didn't persist any notification job
 26/03/24 09:16:42,823 INFO  [@sue-analysis-63] [AnalysisDurabilityJob         ] [@] [AD:1711444602822] started, processing PersistentEvent (11-53..11-55]
 26/03/24 09:16:42,830 INFO  [@tion-analyzer-9] [AbstractAnalyzerJob           ] [@] [DG_AJ:001-11:11-54#11-55:1-5] started
 26/03/24 09:16:42,831 INFO  [@tion-analyzer-9] [AnalyzerMonitor               ] [@] [DG_AJ:001-11:11-54#11-55:1-5] started [001-11:analysis in state after change]
 26/03/24 09:16:42,840 INFO  [@tion-analyzer-9] [AnalyzerMonitor               ] [@] [DG_AJ:001-11:11-54#11-55:1-5] skipped [001-11:analysis in state before change]
 26/03/24 09:16:42,840 INFO  [@tion-analyzer-9] [AnalyzerMonitor               ] [@] [DG_AJ:001-11:11-54#11-55:1-5] started [001-11:user mentions analysis]
 26/03/24 09:16:42,841 INFO  [@tion-analyzer-9] [AnalyzerMonitor               ] [@] [DG_AJ:001-11:11-54#11-55:1-5] started [001-11:user reaction analysis]
 26/03/24 09:16:42,841 INFO  [@tion-analyzer-9] [AbstractAnalyzerJob           ] [@] [DG_AJ:001-11:11-54#11-55:1-5] didn't persist any notification job
 26/03/24 09:40:42,845 INFO  [@sue-analysis-79] [AnalysisDurabilityJob         ] [@] [AD:1711446042844] started, processing PersistentEvent (11-55..11-57]
 26/03/24 09:40:42,851 INFO  [@ion-analyzer-10] [AbstractAnalyzerJob           ] [@] [DG_AJ:001-11:11-56#11-57:1-1] started
 26/03/24 09:40:42,851 INFO  [@ion-analyzer-10] [AnalyzerMonitor               ] [@] [DG_AJ:001-11:11-56#11-57:1-1] started [001-11:analysis in state after change]
 26/03/24 09:40:42,872 INFO  [@ion-analyzer-10] [AnalyzerMonitor               ] [@] [DG_AJ:001-11:11-56#11-57:1-1] started [001-11:analysis in state before change]
 26/03/24 09:40:42,881 INFO  [@ion-analyzer-10] [AnalyzerMonitor               ] [@] [DG_AJ:001-11:11-56#11-57:1-1] started [001-11:user mentions analysis]
 26/03/24 09:40:42,882 INFO  [@ion-analyzer-10] [AnalyzerMonitor               ] [@] [DG_AJ:001-11:11-56#11-57:1-1] started [001-11:user reaction analysis]
 26/03/24 09:40:44,034 INFO  [@ion-analyzer-10] [AbstractAnalyzerJob           ] [@] [DG_AJ:001-11:11-56#11-57:1-1] persisted [UP_IS:001-11:11-56#11-57:1-1#1-5] -> [452-0, 404-0] due to [T#7-7]
 26/03/24 09:41:42,858 INFO  [@g-durability-79] [SendingDurabilityJob          ] [@] [SD:1711446102850] started, processing UserNotification [452-0..452-0] from interval (452-X..X)
 26/03/24 09:41:42,863 INFO  [@g-durability-79] [XdSendingDurability           ] [@] [452-0:UP_IS:1711446042927:001-11:11-56#11-57:1-1#1-5] -> X, no suitable channels
 
